ID,LOOPTYPE (0: Single 1: Move),FPS,,,,,,
KoopaStrikeDown,0,10,,,,,,
,,,,,,,,
TEXTURE ID,L,T,W,H,X,Y,FLIPX,FLIPY
graphics/AllKoopa.png,784,3730,90,88,45,88,0,0
graphics/AllKoopa.png,913,3728,89,90,44.5,90,0,0
graphics/AllKoopa.png,1040,3722,91,96,45.5,96,0,0
graphics/AllKoopa.png,1169,3713,89,104,44.5,104,0,0
graphics/AllKoopa.png,590,4257,73,112,36.5,112,0,0
graphics/AllKoopa.png,729,4255,73,114,36.5,114,0,0
graphics/AllKoopa.png,168,4384,84,107,42,107,0,0
graphics/AllKoopa.png,280,4388,137,105,68.5,105,0,0
graphics/AllKoopa.png,419,4396,137,97,68.5,97,0,0
