ID,LOOPTYPE (0: Single 1: Move),FPS,,,,,,
MarioAttackHammerRight,0,10,,,,,,
,,,,,,,,
TEXTURE ID,L,T,W,H,X,Y,FLIPX,FLIPY
graphics/128102.png,516,812,39,28,19.5,28,1,0
graphics/128102.png,573,812,40,28,20,28,1,0
graphics/128102.png,629,812,40,28,20,28,1,0
graphics/128102.png,463,1018,30,30,15,30,1,0
graphics/128102.png,505,1018,29,30,14.5,30,1,0
graphics/128102.png,546,1003,46,45,23,45,1,0
graphics/128102.png,605,1003,67,45,33.5,45,1,0
graphics/128102.png,686,1003,65,45,32.5,45,1,0
graphics/128102.png,760,1021,41,27,20.5,27,1,0
graphics/128102.png,818,1020,21,27,10.5,27,1,0
graphics/128102.png,853,1020,18,28,9,28,1,0
graphics/128102.png,887,1019,16,29,8,29,1,0
